"Location: W086 55, N40 26",,,,,Astronomical Applications Dept.
"WEST LAFAYETTE, INDIANA",,,,,U. S. Naval Observatory
Rise and Set for the Sun for 2016 ,,,,,"Washington, DC  20392-5420"
,,,,,
Eastern Standard Time,,,,,
,,,,,
Day of Year,Sunrise Time (hhmm),Sunset Time (hhmm),,,
1,811,1731,,,
2,811,1732,,,
3,811,1733,,,
4,811,1734,,,
5,811,1735,,,
6,811,1736,,,
7,811,1737,,,
8,811,1738,,,
9,811,1739,,,
10,810,1740,,,
11,810,1741,,,
12,810,1742,,,
13,810,1743,,,
14,809,1744,,,
15,809,1745,,,
16,809,1746,,,
17,808,1748,,,
18,808,1749,,,
19,807,1750,,,
20,807,1751,,,
21,806,1752,,,
22,805,1753,,,
23,805,1754,,,
24,804,1756,,,
25,803,1757,,,
26,803,1758,,,
27,802,1759,,,
28,801,1800,,,
29,800,1802,,,
30,759,1803,,,
31,758,1804,,,
32,757,1805,,,
33,757,1807,,,
34,756,1808,,,
35,755,1809,,,
36,753,1810,,,
37,752,1811,,,
38,751,1813,,,
39,750,1814,,,
40,749,1815,,,
41,748,1816,,,
42,747,1818,,,
43,746,1819,,,
44,744,1820,,,
45,743,1821,,,
46,742,1822,,,
47,740,1824,,,
48,739,1825,,,
49,738,1826,,,
50,736,1827,,,
51,735,1828,,,
52,734,1829,,,
53,732,1831,,,
54,731,1832,,,
55,729,1833,,,
56,728,1834,,,
57,727,1835,,,
58,725,1836,,,
59,724,1838,,,
60,722,1839,,,
61,721,1840,,,
62,719,1841,,,
63,717,1842,,,
64,716,1843,,,
65,714,1844,,,
66,713,1845,,,
67,711,1846,,,
68,710,1848,,,
69,708,1849,,,
70,706,1850,,,
71,705,1851,,,
72,703,1852,,,
73,702,1853,,,
74,700,1854,,,
75,658,1855,,,
76,657,1856,,,
77,655,1857,,,
78,654,1858,,,
79,652,1859,,,
80,650,1900,,,
81,649,1901,,,
82,647,1902,,,
83,645,1903,,,
84,644,1904,,,
85,642,1906,,,
86,640,1907,,,
87,639,1908,,,
88,637,1909,,,
89,635,1910,,,
90,634,1911,,,
91,632,1912,,,
92,631,1913,,,
93,629,1914,,,
94,627,1915,,,
95,626,1916,,,
96,624,1917,,,
97,622,1918,,,
98,621,1919,,,
99,619,1920,,,
100,618,1921,,,
101,616,1922,,,
102,615,1923,,,
103,613,1924,,,
104,612,1925,,,
105,610,1926,,,
106,608,1927,,,
107,607,1928,,,
108,605,1929,,,
109,604,1930,,,
110,603,1931,,,
111,601,1932,,,
112,600,1933,,,
113,558,1935,,,
114,557,1936,,,
115,555,1937,,,
116,554,1938,,,
117,553,1939,,,
118,551,1940,,,
119,550,1941,,,
120,549,1942,,,
121,547,1943,,,
122,546,1944,,,
123,545,1945,,,
124,544,1946,,,
125,543,1947,,,
126,541,1948,,,
127,540,1949,,,
128,539,1950,,,
129,538,1951,,,
130,537,1952,,,
131,536,1953,,,
132,535,1954,,,
133,534,1955,,,
134,533,1956,,,
135,532,1957,,,
136,531,1958,,,
137,530,1959,,,
138,529,2000,,,
139,528,2001,,,
140,527,2001,,,
141,527,2002,,,
142,526,2003,,,
143,525,2004,,,
144,524,2005,,,
145,524,2006,,,
146,523,2007,,,
147,522,2008,,,
148,522,2008,,,
149,521,2009,,,
150,521,2010,,,
151,520,2011,,,
152,520,2011,,,
153,519,2012,,,
154,519,2013,,,
155,519,2014,,,
156,518,2014,,,
157,518,2015,,,
158,518,2015,,,
159,517,2016,,,
160,517,2017,,,
161,517,2017,,,
162,517,2018,,,
163,517,2018,,,
164,517,2019,,,
165,517,2019,,,
166,517,2019,,,
167,517,2020,,,
168,517,2020,,,
169,517,2020,,,
170,517,2021,,,
171,517,2021,,,
172,517,2021,,,
173,518,2021,,,
174,518,2022,,,
175,518,2022,,,
176,518,2022,,,
177,519,2022,,,
178,519,2022,,,
179,520,2022,,,
180,520,2022,,,
181,520,2022,,,
182,521,2022,,,
183,521,2022,,,
184,522,2021,,,
185,522,2021,,,
186,523,2021,,,
187,524,2021,,,
188,524,2021,,,
189,525,2020,,,
190,526,2020,,,
191,526,2019,,,
192,527,2019,,,
193,528,2019,,,
194,528,2018,,,
195,529,2017,,,
196,530,2017,,,
197,531,2016,,,
198,531,2016,,,
199,532,2015,,,
200,533,2014,,,
201,534,2014,,,
202,535,2013,,,
203,536,2012,,,
204,536,2011,,,
205,537,2010,,,
206,538,2010,,,
207,539,2009,,,
208,540,2008,,,
209,541,2007,,,
210,542,2006,,,
211,543,2005,,,
212,544,2004,,,
213,545,2003,,,
214,546,2002,,,
215,546,2001,,,
216,547,2000,,,
217,548,1958,,,
218,549,1957,,,
219,550,1956,,,
220,551,1955,,,
221,552,1954,,,
222,553,1952,,,
223,554,1951,,,
224,555,1950,,,
225,556,1948,,,
226,557,1947,,,
227,558,1946,,,
228,559,1944,,,
229,600,1943,,,
230,601,1942,,,
231,602,1940,,,
232,603,1939,,,
233,604,1937,,,
234,605,1936,,,
235,606,1934,,,
236,607,1933,,,
237,608,1931,,,
238,609,1930,,,
239,610,1928,,,
240,611,1927,,,
241,612,1925,,,
242,613,1923,,,
243,613,1922,,,
